accuracy,base_oracle_loss,base_oracle_match_rate,budget,causal_k,excess_over_base_oracle,excess_over_generated_oracle,generated_candidates,generated_oracle_accuracy,generated_oracle_loss,generated_oracle_match_rate,interaction_mode,loss,pairwise_weight,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_4_rate,selected_generated_5_rate,selected_generated_6_rate,selected_generated_7_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,soft_ce_weight,static_generated_mode_from_validation,static_mode_from_validation,test_samples,total_objects_n,utility_weight,validation_reranker_loss,validation_samples,validation_static_loss
0.6,0.960229,1.0,4,8,0.0,0.01028,8,0.6,0.949949,0.588889,pairwise,0.960229,1.0,base_oracle,40,600,400,0.005,,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533333,0.177778,0.033333,0.255556,0.25,generated_6,indexed,90,2048,0.05,0.957421,180,1.00984
0.6,0.960229,0.588889,4,8,-0.01028,0.0,8,0.6,0.949949,1.0,pairwise,0.949949,1.0,generated_oracle,40,600,400,0.005,,23,0.011111,0.166667,0.055556,0.022222,0.077778,0.0,0.022222,0.055556,0.411111,0.511111,0.0,0.0,0.077778,0.25,generated_6,indexed,90,2048,0.05,0.957421,180,1.00984
0.5,0.943108,0.022222,4,16,0.028712,0.039153,8,0.544444,0.932668,0.011111,pairwise,0.971821,1.0,static_base_validation_choice,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.25,generated_2,learned,90,2048,0.05,0.885737,180,0.924173
0.466667,0.943108,0.0,4,16,0.036222,0.046662,8,0.544444,0.932668,0.033333,pairwise,0.97933,1.0,static_generated_validation_choice,40,600,400,0.005,,11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,generated_2,learned,90,2048,0.05,0.885737,180,0.924173
0.477778,0.943108,0.2,4,16,0.038256,0.048697,8,0.544444,0.932668,0.177778,pairwise,0.981365,1.0,pairwise_generated_reranker,40,600,400,0.005,,11,0.066667,0.011111,0.144444,0.033333,0.211111,0.066667,0.088889,0.044444,0.666667,0.188889,0.022222,0.0,0.122222,0.25,generated_2,learned,90,2048,0.05,0.885737,180,0.924173
0.477778,0.943108,0.2,4,16,0.038256,0.048697,8,0.544444,0.932668,0.177778,pairwise,0.981365,1.0,pairwise_margin_safe_reranker,40,600,400,0.005,1,11,0.066667,0.011111,0.144444,0.033333,0.211111,0.066667,0.088889,0.044444,0.666667,0.188889,0.022222,0.0,0.122222,0.25,generated_2,learned,90,2048,0.05,0.885737,180,0.924173
0.522222,0.943108,1.0,4,16,0.0,0.010441,8,0.544444,0.932668,0.433333,pairwise,0.943108,1.0,base_oracle,40,600,400,0.005,,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.377778,0.233333,0.022222,0.366667,0.25,generated_2,learned,90,2048,0.05,0.885737,180,0.924173
0.544444,0.943108,0.433333,4,16,-0.010441,0.0,8,0.544444,0.932668,1.0,pairwise,0.932668,1.0,generated_oracle,40,600,400,0.005,,11,0.033333,0.233333,0.033333,0.044444,0.155556,0.011111,0.033333,0.022222,0.566667,0.322222,0.011111,0.011111,0.088889,0.25,generated_2,learned,90,2048,0.05,0.885737,180,0.924173
0.5,0.904589,0.411111,4,16,0.044029,0.063608,8,0.555556,0.885009,0.122222,pairwise,0.948618,1.0,static_base_validation_choice,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,generated_4,proximity,90,2048,0.05,0.870191,180,0.927068
0.533333,0.904589,0.0,4,16,0.032395,0.051974,8,0.555556,0.885009,0.222222,pairwise,0.936984,1.0,static_generated_validation_choice,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,generated_4,proximity,90,2048,0.05,0.870191,180,0.927068
0.511111,0.904589,0.211111,4,16,0.029469,0.049049,8,0.555556,0.885009,0.288889,pairwise,0.934058,1.0,pairwise_generated_reranker,40,600,400,0.005,,13,0.022222,0.055556,0.066667,0.011111,0.2,0.044444,0.022222,0.2,0.622222,0.255556,0.033333,0.0,0.088889,0.25,generated_4,proximity,90,2048,0.05,0.870191,180,0.927068
