causal_k,dense_beneficial,dense_breaks_sparse,dense_correct,dense_fixes_sparse,dense_loss,dense_needed,dense_regret,event_norm,interaction_density,interaction_mode,mean_pair_distance,min_pair_distance,sample_index,seed,sparse_confidence,sparse_correct,sparse_delta_norm,sparse_entropy,sparse_loss,sparse_margin,sparse_uncertainty_mean,target_x,target_y,total_objects_n
8,1,0,1,0,0.24281049,0,-0.29494667,1.54697073,0.17557576,pairwise,0.20771834,0.02625964,87,11,0.58405674,1,0.22790553,0.94574577,0.53775716,0.30977976,0.55402094,0.55332631,0.0,2048
8,0,0,1,1,1.05312276,1,0.06440943,1.72441649,0.20680413,pairwise,0.20813462,0.03575311,88,11,0.38783389,0,0.17583236,1.07775903,0.98871332,0.01577881,0.54081279,0.64528579,0.0,2048
8,0,0,1,0,1.04864097,0,0.09671724,1.69977272,0.16895284,pairwise,0.22250776,0.01702833,89,11,0.38599774,1,0.17283449,1.08669925,0.95192373,0.03679776,0.54197896,0.51702833,0.0,2048
8,0,0,1,0,0.75417608,0,0.05140603,1.61603379,0.10594804,pairwise,0.27226204,0.01966773,0,13,0.49521166,1,0.16416517,0.99567688,0.70277005,0.13527924,0.47879308,0.63832462,0.0,2048
8,1,0,0,0,1.21331668,1,-0.08643687,1.71336043,0.22137652,pairwise,0.23070659,0.02784324,1,13,0.39165324,0,0.16477656,1.08787227,1.29975355,0.05590552,0.46360859,0.97215676,0.0,2048
8,1,0,0,0,0.9160037,1,-0.07744712,1.61342621,0.18111314,pairwise,0.22726679,0.01389086,2,13,0.4822315,0,0.16203669,1.00185633,0.99345082,0.11193481,0.47972095,0.51389086,0.0,2048
8,0,0,0,0,1.50166464,0,0.06983626,1.74136913,0.22248426,pairwise,0.19115248,0.00018471,3,13,0.39743319,0,0.19437262,1.07660186,1.43182838,0.03373817,0.46533033,0.63354599,0.0,2048
8,1,0,1,0,0.87063891,0,-0.03896707,1.78464544,0.18187377,pairwise,0.20965396,0.05016771,4,13,0.40268287,1,0.22763279,1.06541061,0.90960598,0.02220747,0.46231264,0.56683922,0.0,2048
8,1,0,0,0,0.93931144,1,-0.03260237,1.80122232,0.12431349,pairwise,0.21602252,0.06210125,5,13,0.40348104,0,0.22060663,1.06609619,0.97191381,0.02512279,0.45928305,0.72447288,0.0,2048
8,0,0,1,0,0.50251007,0,0.00433671,1.58146572,0.1008665,pairwise,0.23632635,0.08833506,6,13,0.60763961,1,0.20698854,0.90699363,0.49817336,0.33012238,0.48147452,0.79788381,0.0,2048
8,1,0,0,0,1.4753412,1,-0.1387856,1.67299056,0.21155702,pairwise,0.18965463,0.03269,7,13,0.43793747,0,0.15812147,1.05075788,1.6141268,0.0749394,0.4675678,0.91727108,0.0,2048
8,0,0,0,0,1.08100426,0,0.04581416,1.88535643,0.2021613,pairwise,0.1863853,0.01302488,8,13,0.4468182,0,0.2732648,1.04828811,1.03519011,0.09165934,0.45242459,0.7460233,0.0,2048
8,1,0,1,0,0.34719706,0,-0.1272074,1.5502243,0.11635999,pairwise,0.26697016,0.04254218,9,13,0.6222555,1,0.24706545,0.8825115,0.47440445,0.34574124,0.49213013,0.64635205,0.0,2048
8,0,0,0,0,1.03525937,0,0.01029158,1.74851167,0.23795798,pairwise,0.19686672,0.00127123,10,13,0.40322334,0,0.20097902,1.07563186,1.02496779,0.0444153,0.4665035,0.57553113,0.0,2048
8,0,0,0,0,1.19506812,0,0.12184453,1.94299364,0.12402688,pairwise,0.2928257,0.06172222,11,13,0.46513605,0,0.30492836,1.04043829,1.07322359,0.12323144,0.44683993,0.93827778,0.0,2048
8,1,0,1,0,0.30805904,0,-0.15477401,1.54516506,0.16040023,pairwise,0.26208457,0.01496506,12,13,0.62949771,1,0.2603119,0.87377107,0.46283305,0.35748899,0.4944346,0.48503494,0.0,2048
8,1,0,1,0,0.64932644,0,-0.16787905,1.86822295,0.15212701,pairwise,0.2468677,0.0231323,13,13,0.44166416,1,0.26526356,1.05176568,0.81720549,0.08540303,0.45370314,0.7515173,0.0,2048
8,0,0,0,0,1.03528666,0,0.01629949,1.87118268,0.23333147,pairwise,0.19654478,0.01630569,14,13,0.44400251,0,0.28662056,1.04711175,1.01898718,0.08304214,0.45619002,0.51630569,0.0,2048
8,0,0,0,0,2.39227414,0,0.70382977,1.94986844,0.11538732,pairwise,0.26613528,0.0380123,15,13,0.4702763,0,0.33396381,1.0339762,1.68844438,0.12535939,0.4499118,0.70367336,0.0,2048
8,1,0,1,0,0.71092331,0,-0.1335181,1.8452158,0.21436492,pairwise,0.20650747,0.02680274,16,13,0.42979738,1,0.27179593,1.05228782,0.84444141,0.0589307,0.4593749,0.46839187,0.0,2048
8,0,0,0,0,1.01081085,0,0.00250506,1.82638228,0.13390078,pairwise,0.2701222,0.01141939,17,13,0.41458032,0,0.22531202,1.06630719,1.00830579,0.04974374,0.45472831,0.88847321,0.0,2048
8,0,0,0,0,1.2198025,0,0.06862378,1.70756829,0.1451647,pairwise,0.2291474,0.05132816,18,13,0.39918795,0,0.16247383,1.08829474,1.15117872,0.08292422,0.46495262,0.85238206,0.0,2048
8,1,0,1,0,0.65711129,0,-0.17466384,1.86498523,0.18026073,pairwise,0.19849178,0.01330032,19,13,0.43527591,1,0.24874,1.0568887,0.83177513,0.07952857,0.45136166,0.96834612,0.0,2048
8,0,0,0,0,1.13891125,0,0.08743954,1.91861665,0.13504674,pairwise,0.24065922,0.01242158,20,13,0.45743591,0,0.29341722,1.04276609,1.05147171,0.10801277,0.45030192,0.81102479,0.0,2048
8,0,0,0,0,1.04042411,0,0.01232946,1.66036284,0.22911099,pairwise,0.19633611,0.01439341,21,13,0.42428815,0,0.16318074,1.06358039,1.02809465,0.06660032,0.47422838,0.5574826,0.0,2048
8,0,0,0,0,1.08797228,0,0.01755011,1.73600793,0.12844723,pairwise,0.22984222,0.0441306,22,13,0.40489811,0,0.18583912,1.08051348,1.07042217,0.06203434,0.46603644,0.61236352,0.0,2048
8,1,0,0,0,0.97002888,1,-0.01410055,1.80286276,0.13796009,pairwise,0.29007578,0.004914,23,13,0.40050271,0,0.21466962,1.07028794,0.98412943,0.02673826,0.45779607,0.841699,0.0,2048
8,0,0,0,0,2.36176586,0,0.68179679,1.94116151,0.15626259,pairwise,0.20693323,0.02431428,24,13,0.46747226,0,0.32266623,1.03580976,1.67996907,0.12132421,0.44971395,0.65331715,0.0,2048
8,1,0,0,0,1.72822618,1,-0.07708168,1.64063179,0.1604505,pairwise,0.21375234,0.03895279,25,13,0.49386504,0,0.15492,1.01217985,1.80530787,0.15215385,0.47199965,0.77793694,0.0,2048
8,1,0,0,0,1.0378319,1,-0.20719326,1.60865629,0.15873566,pairwise,0.20804681,0.04379963,26,13,0.58180952,0,0.17918846,0.93909532,1.24502516,0.29387584,0.47543013,0.83791405,0.0,2048
8,1,0,1,0,0.4142895,0,-0.04565564,1.56932127,0.1251162,pairwise,0.33247212,0.04290378,27,13,0.63131827,1,0.2369523,0.8825711,0.45994514,0.3721945,0.48293164,0.95440865,0.0,2048
8,1,0,0,0,1.22348058,1,-0.09859228,1.7121042,0.25185797,pairwise,0.2262093,0.00817957,28,13,0.39015386,0,0.16492715,1.08669615,1.32207286,0.0468899,0.46364135,0.96889102,0.0,2048
