mode,total_n,k_ref,true_relation_confidence,missing_rate,false_positive_rate,delta_mse,delta_mae,zero_delta_mse,relative_mse,mean_selected_k,mean_updated_k,max_selected_k,mean_touch_ratio,max_touch_ratio,mean_escalation,mean_missed_causal
hybrid_escalation_region,8192,4,0.95,0.0,0.0,0.003518,0.048513,0.521683,0.006744,4.0,4.0,4,0.00097621,0.00097621,0.0,0.0
sparse_confident_relations,8192,4,0.95,0.0,0.25,0.00369,0.050345,0.570368,0.006469,4.0,4.0,4,0.0010981,0.0010981,1.0,0.0
hybrid_escalation_region,8192,4,0.95,0.0,0.25,0.00369,0.050345,0.570368,0.006469,4.0,4.0,4,0.0010981,0.0010981,1.0,0.0
sparse_confident_relations,8192,4,0.95,0.5,0.0,0.139604,0.250012,0.556611,0.250811,4.0,2.53125,4,0.00079711,0.00097621,0.0,1.46875
hybrid_escalation_region,8192,4,0.95,0.5,0.0,0.139604,0.250012,0.556611,0.250811,4.0,2.53125,4,0.00079711,0.00097621,0.0,1.46875
sparse_confident_relations,8192,4,0.95,0.5,0.25,0.134841,0.24434,0.520712,0.258955,4.0,2.539062,4,0.00092,0.0010981,1.0,1.460938
hybrid_escalation_region,8192,4,0.95,0.5,0.25,0.003799,0.051232,0.520712,0.007296,4.0,4.0,4,0.00092,0.0010981,1.0,0.0
sparse_confident_relations,8192,4,0.2,0.0,0.0,0.284601,0.461082,0.548948,0.518447,4.0,1.0,4,0.00097621,0.00097621,1.0,3.0
hybrid_escalation_region,8192,4,0.2,0.0,0.0,0.003618,0.046615,0.548948,0.006591,4.0,4.0,4,0.00097621,0.00097621,1.0,0.0
sparse_confident_relations,8192,4,0.2,0.0,0.25,0.296893,0.470129,0.572334,0.51874,4.0,1.0,4,0.0010981,0.0010981,1.0,3.0
hybrid_escalation_region,8192,4,0.2,0.0,0.25,0.003953,0.048543,0.572334,0.006906,4.0,4.0,4,0.0010981,0.0010981,1.0,0.0
sparse_confident_relations,8192,4,0.2,0.5,0.0,0.303085,0.47572,0.58494,0.518147,4.0,1.0,4,0.0007933,0.00097621,0.890625,3.0
hybrid_escalation_region,8192,4,0.2,0.5,0.0,0.034267,0.093453,0.58494,0.058581,4.0,3.671875,4,0.0007933,0.00097621,0.890625,0.328125
sparse_confident_relations,8192,4,0.2,0.5,0.25,0.281157,0.457896,0.541995,0.518745,4.0,1.0,4,0.00090571,0.0010981,1.0,3.0
hybrid_escalation_region,8192,4,0.2,0.5,0.25,0.003917,0.050862,0.541995,0.007227,4.0,4.0,4,0.00090571,0.0010981,1.0,0.0
