row_type,seed,sample_index,background_objects,branch_count,total_objects,total_relations,selected_objects,selected_relations,objectification_score,full_tensor_bytes,selected_tensor_bytes,tensor_byte_reduction,full_tensorize_ms,selected_tensorize_ms,tensorize_latency_reduction,full_state_memory_bytes,selected_state_memory_bytes,selected_state_memory_reduction,branch_overlay_bytes,base_plus_overlay_bytes,full_copy_branch_bytes,branch_memory_reduction,dense_object_work_proxy,sparse_object_work_proxy,work_proxy_reduction,full_graph_forward_ms,selected_sparse_forward_ms,selected_local_dense_forward_ms,sparse_forward_latency_reduction,local_dense_forward_latency_reduction,sample_count
sample,13,3,512,8,517,517,5,5,0.938491,34166,374,0.989053,16.681100,0.239400,0.985648,78584,760,0.990329,2176,80760,628672,0.871539,2138312,200,0.999906,75.726333,1.144500,1.540533,0.984886,0.979657,1
sample,13,4,512,1,517,517,5,5,0.938491,34166,374,0.989053,16.986900,0.268100,0.984217,78584,760,0.990329,272,78856,78584,0.000000,267289,25,0.999906,80.097167,0.881700,1.602700,0.988992,0.979991,1
sample,13,4,512,3,517,517,5,5,0.938491,34166,374,0.989053,16.760000,0.251100,0.985018,78584,760,0.990329,816,79400,235752,0.663205,801867,75,0.999906,76.119833,1.116300,1.531000,0.985335,0.979887,1
sample,13,4,512,8,517,517,5,5,0.938491,34166,374,0.989053,16.855400,0.282100,0.983264,78584,760,0.990329,2176,80760,628672,0.871539,2138312,200,0.999906,79.358933,0.947733,1.751700,0.988058,0.977927,1
sample,13,5,512,1,517,517,5,5,0.938491,34166,374,0.989053,17.780700,0.270000,0.984815,78584,760,0.990329,272,78856,78584,0.000000,267289,25,0.999906,78.104500,0.884733,1.582667,0.988672,0.979737,1
sample,13,5,512,3,517,517,5,5,0.938491,34166,374,0.989053,16.789200,0.236100,0.985937,78584,760,0.990329,816,79400,235752,0.663205,801867,75,0.999906,79.667733,1.031967,1.564567,0.987047,0.980361,1
sample,13,5,512,8,517,517,5,5,0.938491,34166,374,0.989053,16.769800,0.243400,0.985486,78584,760,0.990329,2176,80760,628672,0.871539,2138312,200,0.999906,75.544167,0.942533,1.858900,0.987523,0.975393,1
sample,13,6,512,1,516,516,4,4,0.938403,34100,308,0.990968,16.674300,0.219700,0.986824,78432,608,0.992248,272,78704,78432,0.000000,266256,16,0.999940,75.962500,1.012900,1.556867,0.986666,0.979505,1
sample,13,6,512,3,516,516,4,4,0.938403,34100,308,0.990968,16.615200,0.207700,0.987499,78432,608,0.992248,816,79248,235296,0.663199,798768,48,0.999940,74.004700,0.987700,1.669000,0.986654,0.977447,1
sample,13,6,512,8,516,516,4,4,0.938403,34100,308,0.990968,16.874000,0.209700,0.987573,78432,608,0.992248,2176,80608,627456,0.871532,2130048,128,0.999940,74.559433,1.042267,1.637400,0.986021,0.978039,1
sample,13,7,512,1,516,516,4,4,0.938403,34100,308,0.990968,15.714000,0.212100,0.986502,78432,608,0.992248,272,78704,78432,0.000000,266256,16,0.999940,73.670833,1.180667,1.396467,0.983974,0.981045,1
sample,13,7,512,3,516,516,4,4,0.938403,34100,308,0.990968,16.674000,0.217600,0.986950,78432,608,0.992248,816,79248,235296,0.663199,798768,48,0.999940,75.614833,1.072100,1.461700,0.985822,0.980669,1
sample,13,7,512,8,516,516,4,4,0.938403,34100,308,0.990968,15.764600,0.223600,0.985816,78432,608,0.992248,2176,80608,627456,0.871532,2130048,128,0.999940,72.491500,0.874433,1.543900,0.987937,0.978702,1
sample,13,0,2048,1,2052,2052,4,4,0.938101,135476,308,0.997727,56.461200,0.217800,0.996142,311904,608,0.998051,272,312176,311904,0.000000,4210704,16,0.999996,319.192567,0.899767,1.956567,0.997181,0.993870,1
sample,13,0,2048,3,2052,2052,4,4,0.938101,135476,308,0.997727,67.098500,0.328700,0.995101,311904,608,0.998051,816,312720,935712,0.665795,12632112,48,0.999996,316.709933,0.850233,1.496333,0.997315,0.995275,1
