row_type,seed,sample_index,background_objects,branch_count,total_objects,total_relations,selected_objects,selected_relations,objectification_score,full_tensor_bytes,selected_tensor_bytes,tensor_byte_reduction,full_tensorize_ms,selected_tensorize_ms,tensorize_latency_reduction,full_state_memory_bytes,selected_state_memory_bytes,selected_state_memory_reduction,branch_overlay_bytes,base_plus_overlay_bytes,full_copy_branch_bytes,branch_memory_reduction,dense_object_work_proxy,sparse_object_work_proxy,work_proxy_reduction,full_graph_forward_ms,selected_sparse_forward_ms,selected_local_dense_forward_ms,sparse_forward_latency_reduction,local_dense_forward_latency_reduction,full_graph_peak_memory_bytes,selected_sparse_peak_memory_bytes,selected_local_dense_peak_memory_bytes,sparse_peak_memory_reduction,local_dense_peak_memory_reduction,sample_count
sample,13,3,0,3,5,5,5,5,0.988800,374,374,0.000000,0.170300,0.137100,0.194950,760,760,0.000000,816,1576,2280,0.308772,75,75,0.000000,2.988160,2.233100,3.260120,0.252684,0.000000,10668032.000,10672640.000,10671616.000,0.000000,0.000000,1
sample,13,3,0,8,5,5,5,5,0.988800,374,374,0.000000,0.180300,0.137300,0.238491,760,760,0.000000,2176,2936,6080,0.517105,200,200,0.000000,3.041960,2.266160,3.335220,0.255033,0.000000,10668032.000,10672640.000,10671616.000,0.000000,0.000000,1
sample,13,0,32,1,36,36,4,4,0.943778,2420,308,0.872727,0.787500,0.141000,0.820952,5472,608,0.888889,272,5744,5472,0.000000,1296,16,0.987654,11.864280,2.161640,3.201920,0.817803,0.730121,10740224.000,10674176.000,10673152.000,0.006150,0.006245,1
sample,13,0,32,3,36,36,4,4,0.943778,2420,308,0.872727,0.810600,0.120900,0.850851,5472,608,0.888889,816,6288,16416,0.616959,3888,48,0.987654,11.894840,2.220380,3.267800,0.813333,0.725276,10740224.000,10674176.000,10673152.000,0.006150,0.006245,1
sample,13,0,32,8,36,36,4,4,0.943778,2420,308,0.872727,0.779700,0.117200,0.849686,5472,608,0.888889,2176,7648,43776,0.825292,10368,128,0.987654,11.953220,2.149880,3.188940,0.820142,0.733215,10740224.000,10674176.000,10673152.000,0.006150,0.006245,1
sample,13,1,32,1,36,36,4,4,0.943778,2420,308,0.872727,0.780100,0.120000,0.846174,5472,608,0.888889,272,5744,5472,0.000000,1296,16,0.987654,11.805960,2.233280,3.219760,0.810835,0.727277,10740224.000,10674176.000,10673152.000,0.006150,0.006245,1
sample,13,1,32,3,36,36,4,4,0.943778,2420,308,0.872727,0.807200,0.118000,0.853816,5472,608,0.888889,816,6288,16416,0.616959,3888,48,0.987654,11.775140,2.286680,3.154600,0.805804,0.732097,10740224.000,10674176.000,10673152.000,0.006150,0.006245,1
sample,13,1,32,8,36,36,4,4,0.943778,2420,308,0.872727,0.771700,0.116900,0.848516,5472,608,0.888889,2176,7648,43776,0.825292,10368,128,0.987654,11.585880,2.132760,3.196480,0.815917,0.724106,10740224.000,10674176.000,10673152.000,0.006150,0.006245,1
sample,13,2,32,1,37,37,5,5,0.944865,2486,374,0.849558,0.783400,0.139100,0.822441,5624,760,0.864865,272,5896,5624,0.000000,1369,25,0.981738,12.188520,2.195040,3.212420,0.819909,0.736439,10743808.000,10674688.000,10673664.000,0.006433,0.006529,1
sample,13,2,32,3,37,37,5,5,0.944865,2486,374,0.849558,0.786600,0.137000,0.825833,5624,760,0.864865,816,6440,16872,0.618303,4107,75,0.981738,11.756680,2.232720,3.264000,0.810089,0.722371,10743808.000,10674688.000,10673664.000,0.006433,0.006529,1
sample,13,2,32,8,37,37,5,5,0.944865,2486,374,0.849558,0.789700,0.136700,0.826896,5624,760,0.864865,2176,7800,44992,0.826636,10952,200,0.981738,11.936880,2.188940,3.250260,0.816624,0.727713,10743808.000,10674688.000,10673664.000,0.006433,0.006529,1
sample,13,3,32,1,37,37,5,5,0.944865,2486,374,0.849558,0.827400,0.139300,0.831641,5624,760,0.864865,272,5896,5624,0.000000,1369,25,0.981738,12.171000,2.231340,3.259500,0.816667,0.732191,10743808.000,10674688.000,10673664.000,0.006433,0.006529,1
sample,13,3,32,3,37,37,5,5,0.944865,2486,374,0.849558,0.798300,0.138000,0.827133,5624,760,0.864865,816,6440,16872,0.618303,4107,75,0.981738,12.222080,2.259080,3.266860,0.815164,0.732708,10743808.000,10674688.000,10673664.000,0.006433,0.006529,1
sample,13,3,32,8,37,37,5,5,0.944865,2486,374,0.849558,0.808700,0.142900,0.823297,5624,760,0.864865,2176,7800,44992,0.826636,10952,200,0.981738,11.759140,2.178640,3.305280,0.814728,0.718918,10743808.000,10674688.000,10673664.000,0.006433,0.006529,1
sample,13,0,128,1,132,132,4,4,0.939576,8756,308,0.964824,2.662700,0.121000,0.954557,20064,608,0.969697,272,20336,20064,0.000000,17424,16,0.999082,37.870280,2.148360,3.198200,0.943271,0.915549,10968064.000,10680320.000,10679296.000,0.026235,0.026328,1
