mode,shift,total_n,escape_rate,initial_scale,initial_offset,final_scale,final_offset,mean_selected_k,max_selected_k,mean_observation_budget,mean_base_budget_trim,mean_verifier_topup,mean_estimated_topup_value,causal_recall,trajectory_mse,state_integrity,observation_hit_rate,missed_hidden_rate,objective,work_proxy,bytes_proxy
wpu-online-calibrated-observation,clean,8192,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.955078,0.074049,0.931983,0.0,0.0,0.074049,24.0,864.0
wpu-verified-online-observation,clean,8192,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.955078,0.074049,0.931983,0.0,0.0,0.074049,24.0,864.0
wpu-value-budget-online-observation,clean,8192,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.955078,0.074049,0.931983,0.0,0.0,0.074049,24.0,864.0
wpu-sequential-online-observation,clean,8192,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.955078,0.074049,0.931983,0.0,0.0,0.074049,24.0,864.0
wpu-composed-online-observation,clean,8192,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.955078,0.074049,0.931983,0.0,0.0,0.074049,24.0,864.0
wpu-learned-composed-online-observation,clean,8192,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.955078,0.074049,0.931983,0.0,0.0,0.074049,24.0,864.0
wpu-labeled-calibrated-observation,clean,8192,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.955078,0.074049,0.931983,0.0,0.0,0.074049,24.0,864.0
wpu-hand-adaptive,clean,8192,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.955078,0.074049,0.931983,0.0,0.0,0.074049,24.0,864.0
dense-state-copy,clean,8192,0.0,1.0,0.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-learned-observation,clean,8192,0.25,1.0,0.0,1.0,0.0,30.375,32.0,1.34375,0.0,0.0,0.0,0.945312,0.091995,0.917097,0.796875,0.0,0.112152,30.375,1093.5
