accuracy,base_oracle_loss,base_oracle_match_rate,budget,causal_k,excess_over_base_oracle,excess_over_generated_oracle,generated_candidates,generated_oracle_accuracy,generated_oracle_loss,generated_oracle_match_rate,interaction_mode,loss,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,static_generated_mode_from_validation,static_mode_from_validation,test_samples,total_objects_n,validation_reranker_loss,validation_samples,validation_static_loss
0.5,0.904589,0.411111,4,16,0.044029,0.059514,4,0.555556,0.889104,0.188889,pairwise,0.948618,static_proximity,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,proximity,proximity,90,2048,0.872122,180,0.927068
0.522222,0.904589,0.155556,4,16,0.041232,0.056717,4,0.555556,0.889104,0.011111,pairwise,0.945821,static_interaction,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,proximity,proximity,90,2048,0.872122,180,0.927068
0.522222,0.904589,0.033333,4,16,0.041239,0.056724,4,0.555556,0.889104,0.0,pairwise,0.945828,static_learned,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,proximity,proximity,90,2048,0.872122,180,0.927068
0.5,0.904589,0.411111,4,16,0.044029,0.059514,4,0.555556,0.889104,0.188889,pairwise,0.948618,static_base_validation_choice,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,proximity,proximity,90,2048,0.872122,180,0.927068
0.5,0.904589,0.411111,4,16,0.044029,0.059514,4,0.555556,0.889104,0.188889,pairwise,0.948618,static_generated_validation_choice,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,proximity,proximity,90,2048,0.872122,180,0.927068
0.511111,0.904589,0.355556,4,16,0.029382,0.044867,4,0.555556,0.889104,0.5,pairwise,0.933971,generated_set_reranker,40,600,400,0.005,,13,0.044444,0.333333,0.0,0.044444,0.422222,0.366667,0.011111,0.0,0.2,proximity,proximity,90,2048,0.872122,180,0.927068
0.511111,0.904589,0.355556,4,16,0.029382,0.044867,4,0.555556,0.889104,0.5,pairwise,0.933971,generated_margin_safe_reranker,40,600,400,0.005,1,13,0.044444,0.333333,0.0,0.044444,0.422222,0.366667,0.011111,0.0,0.2,proximity,proximity,90,2048,0.872122,180,0.927068
0.544444,0.904589,1.0,4,16,0.0,0.015485,4,0.555556,0.889104,0.566667,pairwise,0.904589,base_oracle,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,0.4,0.155556,0.033333,0.411111,proximity,proximity,90,2048,0.872122,180,0.927068
0.555556,0.904589,0.566667,4,16,-0.015485,0.0,4,0.555556,0.889104,1.0,pairwise,0.889104,generated_oracle,40,600,400,0.005,,13,0.033333,0.322222,0.055556,0.022222,0.433333,0.366667,0.011111,0.0,0.188889,proximity,proximity,90,2048,0.872122,180,0.927068
0.466667,0.905333,0.355556,4,16,0.034451,0.038364,4,0.522222,0.901421,0.333333,pairwise,0.939784,static_indexed,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,generated_0,learned,90,2048,0.913856,180,0.943245
0.511111,0.905333,0.377778,4,16,0.02595,0.029862,4,0.522222,0.901421,0.111111,pairwise,0.931283,static_proximity,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,generated_0,learned,90,2048,0.913856,180,0.943245
0.5,0.905333,0.244444,4,16,0.026418,0.030331,4,0.522222,0.901421,0.011111,pairwise,0.931751,static_interaction,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,generated_0,learned,90,2048,0.913856,180,0.943245
0.5,0.905333,0.022222,4,16,0.026644,0.030557,4,0.522222,0.901421,0.0,pairwise,0.931978,static_learned,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,generated_0,learned,90,2048,0.913856,180,0.943245
0.5,0.905333,0.022222,4,16,0.026644,0.030557,4,0.522222,0.901421,0.0,pairwise,0.931978,static_base_validation_choice,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,generated_0,learned,90,2048,0.913856,180,0.943245
0.488889,0.905333,0.0,4,16,0.027383,0.031296,4,0.522222,0.901421,0.111111,pairwise,0.932717,static_generated_validation_choice,40,600,400,0.005,,17,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_0,learned,90,2048,0.913856,180,0.943245
0.477778,0.905333,0.266667,4,16,0.023051,0.026963,4,0.522222,0.901421,0.3,pairwise,0.928384,generated_set_reranker,40,600,400,0.005,,17,0.122222,0.155556,0.088889,0.011111,0.377778,0.3,0.133333,0.022222,0.166667,generated_0,learned,90,2048,0.913856,180,0.943245
0.477778,0.905333,0.266667,4,16,0.023051,0.026963,4,0.522222,0.901421,0.3,pairwise,0.928384,generated_margin_safe_reranker,40,600,400,0.005,1,17,0.122222,0.155556,0.088889,0.011111,0.377778,0.3,0.133333,0.022222,0.166667,generated_0,learned,90,2048,0.913856,180,0.943245
0.522222,0.905333,1.0,4,16,0.0,0.003913,4,0.522222,0.901421,0.455556,pairwise,0.905333,base_oracle,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,0.355556,0.244444,0.022222,0.377778,generated_0,learned,90,2048,0.913856,180,0.943245
0.522222,0.905333,0.455556,4,16,-0.003913,0.0,4,0.522222,0.901421,1.0,pairwise,0.901421,generated_oracle,40,600,400,0.005,,17,0.111111,0.266667,0.066667,0.1,0.544444,0.333333,0.011111,0.0,0.111111,generated_0,learned,90,2048,0.913856,180,0.943245
0.488889,0.9361,0.444444,4,16,0.043594,0.050167,4,0.611111,0.929527,0.377778,pairwise,0.979695,static_indexed,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,generated_2,proximity,90,2048,0.84185,180,0.878886
