causal_k,compute_cost,expanded_dense_loss,expanded_path_loss,expanded_sparse_loss,expanded_working_set_size,expansion_cost,expansion_path,expansion_ratio,hidden_dim,initial_dense_loss,initial_dense_ratio,initial_working_set_size,interaction_mode,layers,max_expansion_rate,model,oracle_loss,policy,policy_accuracy,policy_delta_vs_sparse,policy_excess_over_oracle,policy_loss,propagation_steps,regret_steps,route_threshold,rule,samples,seed,sparse_loss,status,total_compute_ratio,total_objects_n,validation_samples
32,0.05,1.112481,1.112481,1.052241,32,0.02,dense,1.0,128,1.09237,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.949518,always_expand_dense,0.422222,0.074648,0.162964,1.112481,40,80,-0.083574,always,90,11,1.037834,ok,1.0,2048,90
32,0.05,1.112481,1.052241,1.052241,32,0.02,sparse,0.0,128,1.09237,0.177778,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.944639,structured_expansion_gate,0.477778,-0.046516,0.046679,0.991318,40,80,-0.083574,none,90,11,1.037834,ok,0.177778,2048,90
32,0.05,1.112481,1.052241,1.052241,32,0.02,sparse,0.0,128,1.09237,0.177778,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.944639,physical_expansion_gate,0.477778,-0.046516,0.046679,0.991318,40,80,-0.083574,none,90,11,1.037834,ok,0.177778,2048,90
32,0.05,1.112481,1.112481,1.052241,32,0.02,dense,0.0,128,1.09237,0.177778,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.949518,structured_dense_expansion_gate,0.477778,-0.046516,0.0418,0.991318,40,80,-0.083574,none,90,11,1.037834,ok,0.177778,2048,90
32,0.05,1.112481,1.112481,1.052241,32,0.02,dense,0.0,128,1.09237,0.177778,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.949518,physical_dense_expansion_gate,0.477778,-0.046516,0.0418,0.991318,40,80,-0.083574,none,90,11,1.037834,ok,0.177778,2048,90
32,0.05,1.042577,1.026419,1.026419,32,0.02,sparse,0.0,128,1.021853,0.233333,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.915695,initial_calibrated_regret,0.488889,-0.011904,0.063996,0.979691,40,80,0.015566,none,90,13,0.991595,ok,0.233333,2048,90
32,0.05,1.042577,1.026419,1.026419,32,0.02,sparse,1.0,128,1.021853,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.915695,always_expand_sparse,0.444444,0.034824,0.110724,1.026419,40,80,0.015566,always,90,13,0.991595,ok,1.0,2048,90
32,0.05,1.042577,1.042577,1.026419,32,0.02,dense,1.0,128,1.021853,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.919256,always_expand_dense,0.511111,0.050982,0.123321,1.042577,40,80,0.015566,always,90,13,0.991595,ok,1.0,2048,90
32,0.05,1.042577,1.026419,1.026419,32,0.02,sparse,0.0,128,1.021853,0.233333,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.915695,structured_expansion_gate,0.488889,-0.011904,0.063996,0.979691,40,80,0.015566,none,90,13,0.991595,ok,0.233333,2048,90
32,0.05,1.042577,1.026419,1.026419,32,0.02,sparse,0.0,128,1.021853,0.233333,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.915695,physical_expansion_gate,0.488889,-0.011904,0.063996,0.979691,40,80,0.015566,none,90,13,0.991595,ok,0.233333,2048,90
32,0.05,1.042577,1.042577,1.026419,32,0.02,dense,0.0,128,1.021853,0.233333,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.919256,structured_dense_expansion_gate,0.488889,-0.011904,0.060435,0.979691,40,80,0.015566,none,90,13,0.991595,ok,0.233333,2048,90
32,0.05,1.042577,1.042577,1.026419,32,0.02,dense,0.0,128,1.021853,0.233333,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.919256,physical_dense_expansion_gate,0.488889,-0.011904,0.060435,0.979691,40,80,0.015566,none,90,13,0.991595,ok,0.233333,2048,90
