mode,shift,total_n,escape_rate,mean_selected_k,max_selected_k,mean_observation_budget,causal_recall,trajectory_mse,state_integrity,observation_hit_rate,objective,work_proxy,bytes_proxy
dense-state-copy,weak_anomaly,128,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,weak_anomaly,128,0.25,24.0,24.0,0.0,0.761719,0.159239,0.86541,0.0,0.159239,24.0,864.0
wpu-fixed-observation,weak_anomaly,128,0.25,32.0,32.0,8.0,0.972656,0.079376,0.92713,0.635417,0.199376,32.0,1152.0
wpu-adaptive-observation,weak_anomaly,128,0.25,24.25,32.0,0.03125,0.808594,0.142833,0.877175,0.03125,0.143302,24.25,873.0
wpu-learned-observation,weak_anomaly,128,0.25,30.25,32.0,0.78125,0.910156,0.110996,0.901971,0.463542,0.122715,30.25,1089.0
dense-state-copy,weak_anomaly,128,0.25,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,weak_anomaly,128,0.5,24.0,24.0,0.0,0.628906,0.224664,0.819911,0.0,0.224664,24.0,864.0
wpu-fixed-observation,weak_anomaly,128,0.5,32.0,32.0,8.0,0.933594,0.096103,0.913613,0.833854,0.216103,32.0,1152.0
wpu-adaptive-observation,weak_anomaly,128,0.5,25.25,32.0,0.1875,0.664062,0.206787,0.831906,0.054687,0.2096,25.25,909.0
wpu-learned-observation,weak_anomaly,128,0.5,31.5,32.0,1.03125,0.785156,0.169195,0.857342,0.300521,0.184663,31.5,1134.0
dense-state-copy,weak_anomaly,128,0.5,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
wpu-neighbor-only,weak_anomaly,128,0.75,24.0,24.0,0.0,0.4375,0.305324,0.76772,0.0,0.305324,24.0,864.0
wpu-fixed-observation,weak_anomaly,128,0.75,32.0,32.0,8.0,0.902344,0.113784,0.90044,0.829167,0.233784,32.0,1152.0
