model,total_n,k_ref,true_relation_confidence,missing_rate,false_positive_rate,delta_mse,delta_mae,mean_selected_k,max_selected_k,mean_updated_k,work_proxy,bytes_proxy,accuracy_per_kwork
graph-transformer-proxy,512,8,0.95,0.0,0.25,0.00293,0.037435,8.0,8,8.0,271441.0,1048576.0,1.257163
wpu-hybrid,512,8,0.95,0.5,0.0,0.135508,0.250969,8.0,8,4.609375,4.609375,165.9375,1601.001467
wpu-hybrid-context,512,8,0.95,0.5,0.0,0.135748,0.250925,8.0,8,4.609375,5.609375,239.6875,1313.263687
wpu-region-guard,512,8,0.95,0.5,0.0,0.002156,0.034492,8.0,8,8.0,8.0,288.0,57976.964218
dense-graph,512,8,0.95,0.5,0.0,0.003151,0.03955,8.0,8,8.0,515.609375,18432.0,615.530228
serialized-token,512,8,0.95,0.5,0.0,0.002763,0.034351,8.0,8,8.0,515.609375,22528.0,702.041198
graph-transformer-proxy,512,8,0.95,0.5,0.0,0.003151,0.03955,8.0,8,8.0,265855.078125,1048576.0,1.193783
wpu-hybrid,512,8,0.95,0.5,0.25,0.002471,0.037117,8.0,8,8.0,8.0,288.0,50592.642937
wpu-hybrid-context,512,8,0.95,0.5,0.25,0.002405,0.033389,8.0,8,8.0,9.0,416.0,46205.801457
wpu-region-guard,512,8,0.95,0.5,0.25,0.002113,0.033426,8.0,8,8.0,8.0,288.0,59148.197606
dense-graph,512,8,0.95,0.5,0.25,0.003152,0.038846,8.0,8,8.0,517.671875,18432.0,612.920747
serialized-token,512,8,0.95,0.5,0.25,0.002765,0.033664,8.0,8,8.0,517.671875,22528.0,698.639265
graph-transformer-proxy,512,8,0.95,0.5,0.25,0.003152,0.038846,8.0,8,8.0,267985.734375,1048576.0,1.183988
wpu-hybrid,512,8,0.2,0.0,0.0,0.002791,0.038634,8.0,8,8.0,8.0,288.0,44785.48755
wpu-hybrid-context,512,8,0.2,0.0,0.0,0.002769,0.036481,8.0,8,8.0,9.0,416.0,40125.996362
wpu-region-guard,512,8,0.2,0.0,0.0,0.002556,0.037364,8.0,8,8.0,8.0,288.0,48912.93002
dense-graph,512,8,0.2,0.0,0.0,0.003594,0.041573,8.0,8,8.0,519.0,18432.0,536.048852
serialized-token,512,8,0.2,0.0,0.0,0.003268,0.040071,8.0,8,8.0,519.0,22528.0,589.553309
graph-transformer-proxy,512,8,0.2,0.0,0.0,0.003594,0.041573,8.0,8,8.0,269361.0,1048576.0,1.032849
wpu-hybrid,512,8,0.2,0.0,0.25,0.002547,0.037366,8.0,8,8.0,8.0,288.0,49074.390981
wpu-hybrid-context,512,8,0.2,0.0,0.25,0.002497,0.035431,8.0,8,8.0,9.0,416.0,44506.560726
wpu-region-guard,512,8,0.2,0.0,0.25,0.002342,0.036447,8.0,8,8.0,8.0,288.0,53379.734392
